abbr	len	ambiguous	raw	marked	unmarked	ctx1	ctx2	ctx3
subst.	6		895	3	892	>ṚV.</ls> immer nur der Abl. sg. {#aMhos#} in der subst. Bedeutung {%Enge, Drangsal%}: <ls n="ṚV.">1,63,7.	fta<k2>akfta/<h>2 2. {#akfta/#}¦ (3. {#a + kfta#} subst.) <lex>adj.</lex> <lex>f.</lex> {#A#} <is>Vārtt</i	/ls> — Vielleicht von {#aYc#} . <VN>{#akra/#} ist subst. <lex>m.</lex> und bedeutet vielleicht {%Stützbalk
desgl.	6		877	1	876	nanteSvara#}¦ ({#ananta + ISvara#}) <lex>m.</lex> desgl. <ls>Verz. d. B. H. No. 608.</ls> <LEND>  <L>2297<	<L>7755<pc>1-0580<k1>ahnaya<k2>ahnaya {#ahnaya#}¦ desgl. in {#tiro'hnaya, devaraTAhnaya#} (n. {%Tagereise 	cyutanti#}¦ (von {#acyutanta#}) <lex>m.</lex> pl. desgl. ebend. Davon {#˚tantI/ya#} . <LEND>  <L>8098<pc>1
id.	3	Y	820	1	819	zu <ls>P. 7,3,70.</ls> {#anyataracCakyamakartum#} id. zu <ls n="P.">1,1,62.</ls> <div n="1">— 6) mit ei	HAṬṬ.">2,40.</ls> <ls n="BHAṬṬ.">15,75.</ls> — Desid. {#aYjihizate#} {%gehen wollen%}: {#prAcyamAYjihiz	vyAnniH kra\vyAda^M nu\dA de^va\yaja^naM vaha#} ibid. <ls n="AV. 12,2,">42.</ls> Vgl. <ls>MAHĪDH.</ls> 
desid.	6		748	0	748	1-0081<k1>aYjihizA<k2>aYjihizA {#aYjihizA#}¦ (vom desid. von {#aMh#}) <lex>f.</lex> {%Verlangen zu gehen%}	>a/ditsant {#a/ditsant#}¦ (3. {#a + ditsant#} vom desid. von {#dA#}) <lex>adj.</lex> {%nicht geneigt zu ge	rzA<k2>apacikIrzA {#apacikIrzA#}¦ (von {#kar#} im desid. mit {#apa#}) <lex>f.</lex> {%das Verlangen Jemand
viell.	6		647	3	644	nd%}: {#Sve\tA a^varo\kiRa^H#} {%weissglänzend%}, viell. {%röthlichweiss%} <ls>VS. 24,6.</ls> <LEND>  <L>6	kenipa/ {#Akenipa/#}¦ ({#Ake + nipa#} von {#pA#}) viell. {%nahe beobachtend, zuschauend%}; von den Rossen 	> <ls>H. 1334.</ls> — Scheinbar von {#tap#}, aber viell. falsche Lesart für {#AtAyin#} . <LEND>  <L>8249<p
Beiw.	5		636	1	635	}) <lex>f.</lex> {%Häufung der Unsterblichkeit%}, Beiw. der sechs verschiedenen {#citi#} beim {#agnicayan	ex>f.</lex> N. der Pflanze <is>Ajaśṛṅgī</is> oder Beiw. derselben: {#a\ja\Sf\Ngya^rAwa\kI tI^kzRaSf\NgI v	pa\rRo a^vya\TirBa^rat#} <ls n="ṚV.">9,48,3.</ls> Beiw. der Rosse der <is>Aśvin</is> (vgl. <ls>NAIGH. 1,1
überh.	6		613	2	611	em Essen) <ls>CHĀND. UP. 1,10,3.</ls> {%Getränk%} überh. <ls>SUŚR. 1,237,1. 2,134,18. 160,19. 377,16.</ls>	er Wöchnerin%} <ls>RAGH. 3,15.</ls> {%Gynaeceum%} überh.: {#apasnAta ivArizwaM praviveSa gfhottamam#} <ls>	. 18,">6,9.</ls> <div n="1">— 2) {%harter Stein%} überh., {%Felsstück, Fels%} <ls>AK. 2,3,4.</ls> <ls>TRIK
gedr.	5		576	0	576	> {%Kleinheit%} <ls>NIR. 11,31.</ls> {#aRutvaM#} (gedr. {#anutvaM) BArgavo gataH#} <ls>R. 5,73,53.</ls> {	kEH pEttikAH narAH smftAH#} <ls>SUŚR. 1,333, (323 gedr.) 19. 8.</ls> <div n="1">— 5) <lex>m.</lex> {%früh	DyAnAt#} <ls>ŚVETĀŚV. UP. 1,10</ls> ({#aBiDAnAt#} gedr.). 11. mit dem loc.: {#paradravyezvaBiDyAnam#} <ls
Inschr.	7		568	4	564	(?%}) <ls>COLEBR. Misc. Ess. II,245</ls> in einer Inschr. <div n="v">— Vgl. {#aSvabanDa#} . <LEND>  <L>7075	M. 10,34.</ls> <ls>RĀJA-TAR. 5,152.</ls> in einer Inschr. <ls>COLEBR. Misc. Ess. II,234.</ls> <LEND>  <L>93	.</lex> subst. {%Vernichter, Vertilger%} in einer Inschr. <ls>Z. f. d. K. d. M. IV,173 (12).</ls> <LEND>  <
abl.	4		566	0	566	agre — aTa#} <ls>BṚH. ĀR. UP. 1,4,1.</ls> Mit dem abl. {%vor%}: {#atiTiByo 'gra evEtAnBojayet#} <ls>M. 3	<L>824<pc>1-0061<k1>acirAt<k2>acirAt {#acirAt#}¦ (abl. von {#acira#}) adv. {%in Kurzem, bald%}; bei eine	as#}¦ (von 2. {#a#} {%b.%}) adv. <div n="1"> 1) = abl. von {#idam#} und zwar <div n="2"> a) mit subst. B
Einl.	5		540	0	540	eil des <is>Jyotiṣṭoma</is> bildet. <ls>SĀY.</ls> Einl. zu <ls>AIT. BR.</ls> : {#jyotizwomasya saptasaMsT	 1,40,2.</ls> {#sarvajYAnADivAsAya vAlmIkaye#} R. Einl. 5. {#SrIH kEwaBArihfdayEkakftADivAsA#} <ls>DEV. 4	>, <ls>Sch.</ls> <div n="v">— Vgl. <ls>ROTH</ls>, Einl. zum <ls>NIR. LVII. fgg.</ls> und {#nIca, nihata, 
z. B.	5		512	1	511	bertreibender Weise gebraucht wird. So umschreibt z. B. <ls>ŚKDR.</ls> {#akeSa#} durch <div n="1"> 1) {#k	ntgegengesetzte Begriff gemeint wird; so bedeutet z. B. {#asita#} {%nicht weiss%} geradezu {%schwarz.%} Z	 <lex>adj.</lex> {%zu Ohrringen nicht geeignet%} (z. B. Gesicht) <ls>P. 6,2,155</ls>, <ls>Sch.</ls> <LEND
du.	3	Y	477	0	477	t {#agnAmarut#}¦ ({#agni + marut#}) <lex>m.</lex> du. <is>Agni</is> {%und%} <is>Marut</is> <ls>P. 6,3,2	u {#agnAvizRu#}¦ ({#agni + vizRu#}) <lex>m.</lex> du. <is>Agni</is> {%und%} <is>Viṣṇu</is> <ls>AV. 7,29	Ayu {#agnivAyu#}¦ ({#agni + vAyu#}) <lex>m.</lex> du. <is>Agni</is> {%und%} <is>Vāyu</is> = {#vAwvagnI#
dat.	4		468	1	467	ya\ gA A^jaH#} <ls>ṚV. 8,3,19.</ls> {#ni\raje\#} (dat. inf.) {#gAH#} <ls n="ṚV.">3,30,10.</ls> <div n="p	nehmen, Wohlwollen%} <ls>BHAG. 16,3.</ls> mit dem dat.: {#adrohasteByaH#} <ls>KĀTY. ŚR. 8,1,26.</ls> mit	iSrayitavE<k2>a/DiSrayitavE/ {#a/DiSrayitavE/#}¦ (dat. von {#˚tu#} und dieses von {#SrI#} mit {#aDi#}) {
intens.	7		438	1	437	03<pc>1-0082<k1>awAwyA<k2>awAwyA {#awAwyA#}¦ (vom intens. von {#aw#}) <lex>f.</lex> = {#awA#} <ls>P. 3,3,10	>aDicaNkrama<k2>aDicaNkrama {#aDicaNkrama#}¦ (vom intens. von {#kram#} mit {#aDi#}) <lex>adj.</lex> {%über 	itaprakftikAntiBirmuKEH#} <ls>RAGH. 19,10.</ls> — intens. ved. {#alarzi#} <ls>P. 7,4,65.</ls> {%sich regen,
oxyt.	5		434	3	431	.</ls> <ls>ŚAT. BR. 14,9,4,18.</ls> [Page1-0213] (oxyt.) = <ls>BṚH. ĀR. UP. 6,4,19.</ls> <ls>M. 3,86.</ls	 {#rUpaM cEva nAma ca) bra\hmaRo mahatI\ aBve\#} (oxyt.) {#. sa yo\ hEte bra\hmaRo mahatI\ aBve ve\da mah	5<k1>aSmaka<k2>aSmaka {#aSmaka#}¦ (von {#aSman#}) oxyt. <is>gaṇa</is> {#fSyAdi#}, proparox. = {#aSmani ku
insbes.	7		429	1	428	. 251,b,1.</ls> <ls>TRIK. 3,5,10.</ls> {%Haken%} (insbes. zum Heranziehen), {%Angelhaken%}: {#dI\rGaste^ as	vyAkaraRADya˚#} <ls>P. 1,3,38</ls>, <ls>Sch.</ls> insbes. {%das Studium der heiligen Schriften%} <ls>H. 821	2) <lex>f.</lex> {#˚RI#} {%Inhaltsverzeichniss%}, insbes. {%das Verzeichniss der Verfasser, Metra u.s.w. zu
parox.	6		391	0	391	eśi</is> <ls n="ŚAT. BR.">14,9,4,33</ls> (hier proparox.) = <ls>BṚH. ĀR. UP. 6,5,3.</ls> <ls>WEBER, Lit. 1	von {#aSman#}) oxyt. <is>gaṇa</is> {#fSyAdi#}, proparox. = {#aSmani kuSalaH#} <is>gaṇa</is> {#AkarzAdi#} .	ielleicht {#asTa/Byas#} zu lesen, da jene Form proparox. sein müsste) <ls>P. 7,1,75.</ls> <ls n="P. 7,1,">
nom. act.	9		388	0	388	END>  <L>1118<pc>1-0083<k1>awwA<k2>awwA {#awwA#}¦ nom. act. (?) von {#aww#} <ls>P. 3,1,17</ls>, <is>Vārtt</is	aRUBavati#} {%fein, dünn, schwach werden%}; davon nom. act. {#aRUBAva#} <ls>NIR. 6,30.</ls> <LEND>  <L>1168<p	/ls> <ls>M. 9,194.</ls> — Wohl von {#aDyAvahana#} nom. act. von {#vah#} mit {#aDi + A#} . <LEND>  <L>2148<pc>
Aut.	4		383	0	383	%} <is>Āṣāḍha</is> <ls>ŚKDR.</ls> ohne Ang. einer Aut. Vgl. {#azAQaka#} . <div n="1">— 2) N. pr. eines E	ena trayo matAH ..#} <ls>ŚKDR.</ls> ohne Ang. der Aut. Vgl. <ls>VP. 1, N. 1.</ls> ). Die übliche Bezeich	{#kAmAvasAyitA = satyasaMkalpatA#} nach derselben Aut. Eine der acht übernatürlichen Kräfte <is>Śiva's</
W.	2	Y	382	0	382	s>J. GRIMM</ls> in den <ls>Abh. d. Königl. Ak. d. W. zu Berlin,1845. S. 219. fg.</ls> <LEND>  <L>1170<	1,1</ls>; vgl. <ls>ROTH</ls>, <ls>Zur L. u. G. d. W. 51.</ls> <LEND>  <L>1323<pc>1-0097<k1>atipAta<k2>	. 87.</ls> Anm. Ein wirkliches {#Adeva#} s. u. d. W. Als oxytonon erscheint das Wort <ls>AV. 5,8,3.</l
d. h.	5		381	0	381	öchte nicht mit einem Nicht-Tausend heimkehren%}, d. h. {%ich möchte nicht eher heimkehren, bis ein Tause	> <lex>f.</lex> {#A#} {%am meisten angirasisch%}, d. h. {%mit ihren Kräften, Eigenschaften u.s.w. am meis	 rAjanyabanDordvAviMSe vESyasya dvyaDike tataH#} (d. h. {%im 24sten Jahre%}) <ls>M. 2,65.</ls> Man findet
obj.	4		347	0	347	t sehe%} <ls>DAŚ. 2,65.</ls> {#adarSanaM ca te#} (obj.) {#BUyo mAM tApayizyati#} <ls>R. 5,53,6.</ls> mit	Uyo mAM tApayizyati#} <ls>R. 5,53,6.</ls> mit dem obj. componirt: {#rAmAdarSana#} <ls>R. 2,59,15.</ls> <	 2) {%das Uebersehen, Vernachlässigung%}, mit dem obj. componirt: {#brAhmaRAdarSana#} <ls>M. 10,43.</ls>
übertr.	7		341	1	340	/ls> {#agADasalilAtsamudrAt#} <ls>HIT. I,46.</ls> übertr.: {#sAsmyagADe Baye magnA#} <ls n="R.">2,7,20.</ls	te Bayam#} <ls>M. 6,40.</ls> {%fein, substil%} in übertr. Bed.: {#aRureza DarmaH#} <ls>KAṬHOP. 1,21.</ls> {	.</ls> {#va\mrIBi^radA\nam#} <ls>ṚV. 4,19,9.</ls> übertr.: {#agnyaH prARAnevAttumicCanti#} <ls>M. 4,28.</ls
ders.	5		323	0	323	en darüber und über die Qualification zum Opfer%} ders. ebend. <ls n="Ind. St.">I,19,7.</ls> {#SUdro 'Dik	> <div n="1">— 3) {%Mangifera indica%} ({#cUta#}) ders. <LEND>  <L>5079<pc>1-0370<k1>amarapuzpikA<k2>amar	>RĀJAN.</ls> im <ls>ŚKDR.</ls> — {#kArA#} s. besonders. <LEND>  <L>16538<pc>2-0232<k1>kAra<k2>kAra/<h>2 2
eig.	4		319	0	319	qita] + ftu#}) <lex>adj.</lex> {%fruchttragend%} (eig. {%dessen Jahreszeit nicht zunichte wird%}) <ls>ŚA	+ mAMsa#}) <lex>n.</lex> <div n="1"> 1) {%Herz%} (eig. {%das beste Fleisch%}) <ls>AK. 2,6,2,15.</ls> <di	/lex> {%Bock%}, {#ajA/#} <lex>f.</lex> {%Ziege%} (eig. {%behende, agilis%}, <ls>Ind. St. I,428, N.</ls>)
fin.	4		319	0	319	 anya#} {%der eine — der andere%} (das 1ste verb. fin. kann den Ton erhalten <ls>P. 8,1,65.</ls>): {#tay	aru^za fYjate\ nFn#} <ls n="ṚV.">1,122,13.</ls> infin.: {#vemi^ tvA pUzannf\Yjase\ vemi\ stota^va AGfRe#	3,3.</ls> <ls n="ṚV.">5,7,2.</ls> statt des verb. fin. <ls>P. 3,2,133.</ls> {#arhanniha BavAnvidyAm#} <l
folg.	5		294	0	294	ma^H#} <ls>ṚV. 8,68,1.</ls> <div n="v">— Vgl. das folg. Wort. <LEND>  <L>339<pc>1-0027<k1>agfBItaSocis<k2	Vater des 7ten schwarzen <is>Vāsudeva</is>; s. d. folg. Art. <LEND>  <L>484<pc>1-0036<k1>agnisiMhanandana	 {%geheiligtes Feuer%} erscheint {#agnihotra#} an folg. St.: {#strIM dAhayedagnihotreRa#} <ls>M. 5,167.</
pers.	5		294	0	294	s>RĀJAN.</ls> im <ls>ŚKDR.</ls> <div n="v">— Vgl. pers. <lang n="arabic">انجير</lang> <LEND>  <L>1087<pc>	>6,22,1.</ls> {#a\gniM de\vedDa^ma\Bya^rcase#} (1 pers.) {#gi\rA#} <ls n="ṚV.">10,64,3.</ls> <div n="1">—	 herbeiwünschen%}: {#A rADa^Sci\tramf^Yjase#} (1. pers.) <ls>ṚV. 5,13,6.</ls> {#A va^ fYjasa U\rjAM vyu^z
neutr.	6		276	0	276	dv. <is>gaṇa</is> {#dvidaRqyAdi#}; vielleicht das neutr. vom Folgenden. <LEND>  <L>3419<pc>1-0254<k1>antev	len erscheint das Wort am Anf. eines comp. in der neutr. Form {#anyad#} <ls>P. 6,3,99.</ls> <ls n="P. 6,3,	<ls>P. 6,3,99.</ls> <ls n="P. 6,3,">100.</ls> Das neutr. {#anyad#} wird als indecl. im <is>gaṇa</is> {#sva
Unterschr.	10		268	0	268	/ls> {#rAmAnunaya#} <ls n="R. 3,">71.</ls> in der Unterschr. {#sarvaTA idamanunayasarvasvaM gfhyatAm . iti KaN	ratasyAnuyAnam#} <ls n="R. 2,">2,83.</ls> (in der Unterschr.), mit dem Endzweck: {#vanavAsAnuyAnAya mAmanujYAt	#} {%der%} <is>Tārā</is> <ls>R. 4,20.</ls> in der Unterschr. <LEND>  <L>3062<pc>1-0223<k1>anuSoBin<k2>anuSoBin
denom.	6		268	0	268	END>  <L>596<pc>1-0044<k1>aGay<k2>aGay {#aGay#}¦ (denom. von {#aGa) aGa/yati#} {%sündigen%} <ls>DHĀT. 35,8	END>  <L>606<pc>1-0045<k1>aGAy<k2>aGAy {#aGAy#}¦ (denom. von {#aGa#}), <is>Padap</is>. {#aGay#} {%Schaden 	>  <L>636<pc>1-0047<k1>aNkay<k2>aNkay {#aNkay#}¦ (denom. von {#aNka), aNka/yati#} <div n="1"> 1) {%kennzei
infin.	6		267	0	267	staru^za fYjate\ nFn#} <ls n="ṚV.">1,122,13.</ls> infin.: {#vemi^ tvA pUzannf\Yjase\ vemi\ stota^va AGfRe#	\ haste^ bi\Barzyasta^ve#} (dat. von {#astu#} als infin.) <ls>VS. 16,3.</ls> <ls n="VS. 16,">22.</ls> {#pr	.</ls> {#asamiDya ca pAvakam#} <ls>M. 2,187.</ls> infin. {#sami/Dam#} und {#sami/DeH Sa\kema^ tvA sa\miDa^
superl.	7		264	0	264	6<k1>aNgirastama<k2>aNgirastama {#aNgirastama#}¦ (superl. von {#aNgiras#}) <lex>adj.</lex> <lex>f.</lex> {#	1145<pc>1-0084<k1>aRizWa<k2>a/RizWa {#a/RizWa#}¦ (superl. von {#aRu#}) {%der feinste%}: {#annamaSitaM treDA	VET. 16,16. 35,7.</ls> u.s.w. Im Verein mit einem superl. und mit {#su#} {%sehr%}: {#atIva varizWam#} <ls>R
absol.	6		263	1	262	154.</ls> <ls>AK. 2,6,1,10.</ls> <ls>H. 479.</ls> absol.: {#ftukAlaM pratIkzante nArTinaH#} ({%Verliebte, 	dAsyAmyasmE ca kAYcanam#} <ls>KATHĀS. 4,100.</ls> absol. {%der auf's Bitten angewiesen ist, bedürftig, arm	amotsAhasamfdDamAnasa#} <ls n="R. 3,">42,14.</ls> absol. {%wohl ausgestattet, reich%} = {#aDikardDi#} <ls>
impers.	7		257	0	257	 1,7,1,">18.</ls> <ls n="ŚAT. BR.">3,3,4,10.</ls> impers.: {#devaloke me 'pyasat#} <ls n="ŚAT. BR.">1,9,1,1	 n="R. 1,">31,31.</ls> <ls>HIT. 29,12.</ls> pass. impers.: {#AsyatAmiti coktaH sannAsItABimuKaM guroH#} <ls	} (bis Mittag) <ls>BṚH. ĀR. UP. 1,1,1.</ls> pass. impers.: {#indunodIyate#} <ls>BHAṬṬ. 18,20.</ls> {#udEyat
Erkl.	5		250	0	250	 etwas Anderes gerichtet ist, unaufmerksam%}; zur Erkl. von {#pramatta#} <ls>Ind. St. 2,312,22.</ls> <LEN	#} <ls>M. 10,42.</ls> {#mUlyotkarzApakarza#} (zur Erkl. von {#arGabalAbala#}) <ls>KULL.</ls> zu <ls>M. 9,	ft#}) <lex>adj.</lex> {%nicht Böses thuend%}, zur Erkl. von {#avIrahan#} <ls>ŚAT. BR. 3,3,4,12.</ls> <ls 
Cit.	4		244	0	244	erständig%} <ls>AK. 3,4,162.</ls> <ls>H. an.</ls> Cit. beim <ls>Sch.</ls> zu <ls>H. 834.</ls> <div n="2"	er <ls>ed. Calc.</ls> zu lesen) {#hotavyam#} ved. Cit. beim <ls>Sch.</ls> zu <ls>P. 3,4,16.</ls> {#AgnID	H pariDayaH pariDAyakAH kUpasyAcCAdakA sTApitAH#} Cit. bei <ls>SĀY.</ls> zu <ls>ṚV. 1,52,5.</ls> <LEND> 
simpl.	6		243	0	243	d {#prARiti#} durch {%riechen.%} Vgl. noch u. dem simpl., u. {#apa#} und u. {#ud#} . <div n="1">— 2) {%ath	gemahlt%} <ls>RAGH. 3,15</ls>; vgl. das caus. des simpl. u. 4. <div n="1">— 4) {%übergeben, übertragen%}: 	s> mit dem inf. <ls>P. 3,4,65.</ls> Bis jetzt vom simpl. nur das praes. und der inf. {#arha/se#} ( <ls>ṚV.
fut.	4		242	0	242	a<k2>a/gohya {#a/gohya#}¦ (3. {#a + gohya#} part. fut. pass. von {#guh#}) <lex>adj.</lex> {%nicht zu ver	/ls> <ls n="M.">8,174.</ls> <ls>YĀJÑ. 1,339.</ls> fut. <ls>R. 1,70,34.</ls> <ls n="R.">5,71,10</ls> <ls 	R. 6,83,36.</ls> potent. <ls n="R.">5,26,42.</ls> fut. <ls n="R. 6,83,">43.</ls> <div n="v">— Vgl. {#aci
vulg.	5		241	0	241	erodendrum Siphonanthus R. Br.%}, = {#brAhmaRI#} (vulg.: {#vAmanahAwI#}) <ls>RATNAM.</ls> im <ls>ŚKDR.</l	flanze, {%Glycine labialis Lin.%}, = {#kulatTA#} (vulg. {#vanakulaTI)#} <ls>RĀJAN.</ls> im <ls>ŚKDR.</ls>	lex>m.</lex> N. einer Pflanze, = {#vanavAstUka#} (vulg. {#vanaveto#}) <ls>RĀJAN.</ls> im <ls>ŚKDR.</ls> <
ANUKR.	6		240	0	240	dort und sonst nur auf falscher Lesung. <ls>KĀTY. ANUKR. 5,2.</ls> bei <ls>WEBER</ls>, <ls>VS. p. LVII.</l	kvarī</is> {%abgefasst%}, z. B. {#tfcaH#} <ls>ṚV. ANUKR.</ls> bei <ls>SĀY. 2,110. 111.</ls> u.s.w. <LEND> 	viniyukta, brahmayajYArha#}; so wird in <ls>KĀTY. ANUKR.</ls> und bei <ls>MAHĪDH.</ls> der <ls>VS. 33,55</
s. d.	5		233	0	233	edeutung hat das Wort auch im Comp. {#aMhuBedI#} (s. d. folgenden Artikel); sonst erscheint im <ls>ṚV.</l	nes fabelhaften Steines, des <is>Suryakānta</is> (s. d.), ebend. <div n="1">— 3) <lex>f.</lex> {#˚garBA#}	nes fabelhaften Steines, des <is>Sūryakānta</is> (s. d.) <ls>JAṬĀDH.</ls> im <ls>ŚKDR.</ls> <LEND>  <L>42
eben.	5		232	0	232	.</ls> zu <ls>H. 525.</ls> <ls>MANU</ls> zugeschrieben. <ls>DEVALA</ls> im <ls>ŚKDR.</ls> : {#jyezWAyAM v	nte {#svaDanaM tyajya#} den {#prAcInAH#} zugeschrieben. <div n="1">— 2) {%keine Zahlung leistend, nicht v	r <is>Apsaras</is> bei der Quirlung des Oceans gegeben. <div n="1">— 2) {#a + psaras#} . Dieses würde abe
voc.	4		230	1	229	ührend, mit Schleudersteinen bewaffnet%}; nur der voc. {#adrivas#} zu belegen, häufig von <is>Indra</is>	lend%}, von der Morgenröthe <ls>ṚV. 6,65,5.</ls> (voc.) <LEND>  <L>1826<pc>1-0135<k1>adrisAra<k2>adrisAr	x> dass., von <is>Mitra</is> und <is>Varuṇa</is> (voc.): {#tA vA^M sa\myaga^druhvA\Reza^maSyAma\ DAya^se
compar.	7		229	0	229	8<pc>1-0084<k1>aRIyaMs<k2>a/RIyaMs {#a/RIyaMs#}¦ (compar. von {#aRu#}) {%feiner, kleiner%}: {#eza ma AtmAnt	t%} <ls>BHARTṚ. 3,6.</ls> In Verbindung mit einem compar.: {#ataH svalpIyasi dravye#} <ls>M. 11,8.</ls> {#a	rAm<k2>atitarA/m {#atitarA/m#}¦ (von {#atitara#}, compar. von {#ati#}) <div n="1"> 1) adv. <div n="2"> a) {
praes.	6		222	0	222	#a/krILant#}¦ (3. {#a + krILant = krIqant#} part. praes. von {#krIq#}) <lex>adj.</lex> {%nicht spielend%}:	ARa/ {#akrIyamARa/#}¦ (3. {#a + krIyamARa#} part. praes. pass. von {#kar) saMjYAyAm#} <is>gaṇa</is> {#cArv	/kziyant {#a/kziyant#}¦ (3. {#a + kziyant#} part. praes. von {#kzi#} {%wohnen%}) <lex>adj.</lex> {%nicht w
u. d.	5		215	0	215	NIR. S. 87.</ls> Anm. Ein wirkliches {#Adeva#} s. u. d. W. Als oxytonon erscheint das Wort <ls>AV. 5,8,3.	eses durch {#aBi#} verdrängt worden zu sein. Vgl. u. d. Wurzeln {#as, i, gam, gar, grah, jU, DA, nah, ban	ben pflegt, weil man sie von {#ard#} ableitet; s. u. d. Ww. <div n="1">— 4) {%einfügen, einsetzen%}: {#A 
metron.	7		214	0	214	<pc>1-0612<k1>AYjaneya<k2>AYjaneya {#AYjaneya#}¦ (metron. von {#aYjanA#}) <lex>m.</lex> N. pr. <is>Hanumant	2<pc>1-0673<k1>Ambikeya<k2>Ambikeya {#Ambikeya#}¦ metron. von {#ambikA#} <is>gaṇa</is> {#SuBrAdi#} zu <ls>P	-0721<k1>ASokeya<k2>ASokeya/<h>2 2. {#ASokeya/#}¦ metron. von {#aSokA#} <is>gaṇa</is> {#SuBrAdi#} zu <ls>P.
masc.	5		210	0	210	 häufigen Gebrauches dieses Wortes lässt sich das masc. nicht weiter belegen. In der <is>Veda</is>-Litera	ewahrt, auch auf ein fem. bezogen, die Endung des masc.; das zweite {#anya#} dagegen wird movirt und nimm	nDi dozajAtaM pariharatyaneneni anvAhAryo#} (also masc.!) {#nAma ftvigByo deya odanaH)#}.{# anvAhAryaM da
erg.	4		208	0	208	abliNga#}¦ (2. {#ap + liNga#}) <lex>n.</lex> pl. (erg. {#sUktAni#}) {%bestimmte an die Wasser gerichtete	S. 20,52</ls> : {#yAcitABayA#} . <div n="2">— b) (erg. {#sUkta#}) {%ein auf Frieden u.s.w. gerichteter O	Bisvare<k2>aBisvare/ {#aBisvare/#}¦ (dat. vom vorherg.) ({%auf Rufnähe) nach, hinter%}, mit dem gen.: {#
Ausgg.	6		205	0	205	ptAnAM qombAnAm#} <ls>RĀJA-TAR. 5,395.</ls> Beide Ausgg.: {#kowumba#}, was <ls>BENFEY</ls> berichtigt hat.	ohl nur fehlerhaft für {#Acarita#}, wie in beiden Ausgg. des R. gelesen wird. <div n="p">— {#A#} <div n="1	/ls> nach <ls>H. 161</ls>, wo aber die gedruckten Ausgg. {#jihAnaka#} (von <ls>WILS.</ls> als v.l. erwähnt
dd.	3	Y	204	0	204	> wobei wie auch sonst im <ls>ŚAT. BR.</ls> die Bedd. vermengt werden. {#nIhAraDUmArkAnilAnalAnAM Kadyo	s>DURGAD.</ls> im <ls>ŚKDR.</ls> kennt folgende Bedd.: <div n="1"> 1) {#niScaya#}, <div n="1"> 2) {#asA	nd%} in: {#antAvasAyin#} und {#antyAvasAyin#} (s. dd.). Vgl. 1. {#avasAna#} 1. <LEND>  <L>6628<pc>1-049
Anf.	4		201	0	201	#}). Häufig steht {#agra#} scheinbar adjectiv. am Anf. einer Zus.; vgl. {#agranaKa, agranAsikA, agrahast	a, aciraBAs, acirarocis, acirAMSu, acirABa#} . Am Anf. eines comp. vor einem partic.: {%seit Kurzem%}: {	achtet%} <ls>AK. 3,2,4.</ls> <ls>H. 1442.</ls> am Anf. eines comp. als Ausdruck der {%Geringschätzung%} 
vorherg.	8		192	0	192	k1>aBisvare<k2>aBisvare/ {#aBisvare/#}¦ (dat. vom vorherg.) ({%auf Rufnähe) nach, hinter%}, mit dem gen.: {#	>adj.</lex> {%nicht überall vernommen%}, Var. des vorherg. <ls>AV. 9,9,10</ls> ?= <ls>ṚV. 1,164,10.</ls> <LE	 l. der <ls>TS.</ls> zu <ls>VS. 16,18</ls> (s. d. vorherg. Art.). <LEND>  <L>7630<pc>1-0572<k1>ahantra<k2>ah
proparox.	9		191	1	190	paveśi</is> <ls n="ŚAT. BR.">14,9,4,33</ls> (hier proparox.) = <ls>BṚH. ĀR. UP. 6,5,3.</ls> <ls>WEBER, Lit. 1	¦ (von {#aSman#}) oxyt. <is>gaṇa</is> {#fSyAdi#}, proparox. = {#aSmani kuSalaH#} <is>gaṇa</is> {#AkarzAdi#} .	} vielleicht {#asTa/Byas#} zu lesen, da jene Form proparox. sein müsste) <ls>P. 7,1,75.</ls> <ls n="P. 7,1,">
Bedd.	5		189	1	188	ls> wobei wie auch sonst im <ls>ŚAT. BR.</ls> die Bedd. vermengt werden. {#nIhAraDUmArkAnilAnalAnAM Kadyo	<ls>DURGAD.</ls> im <ls>ŚKDR.</ls> kennt folgende Bedd.: <div n="1"> 1) {#niScaya#}, <div n="1"> 2) {#asA	ls>AJAYAP.</ls> im <ls>ŚKDR.</ls> hat noch folgg. Bedd.: {#viBava#} {%Eigenthum%}, {#kiMpacAna#} {%geizig
Hdschr.	7		189	0	189	treng beschränkend%}: {#izwAvaDArakaM (˚DAvakaM#} Hdschr.) {#vAkyamASIH parikIrtitA#} <ls>BHARATA</ls> zu <	vadUta#} {%ein berittener Bote%} <ls>LALIT.</ls> (Hdschr.) <ls>KAP. 15.</ls> {#go'Sva#} <lex>n.</lex> <ls>Ś	TS. 5,4,3,1.</ls> <ls>ŚAT. BR. 1,4,2,13</ls> (die Hdschr.: {#prepsyati#}). <ls n="ŚAT. BR.">4,1,1,21.</ls> 
Mss.	4		188	0	188	>KṢITĪŚ. 26,9.</ls> {#˚siMha#} <ls>Notices of Skt Mss. 41.</ls> <div n="v">— Vgl. {#BAvAviSvanATadIkzita	450. fg.</ls> {#vizRUpADyAya#} <ls>Notices of Skt Mss. 86.</ls> <div n="2">— e) = {#agni#} <ls>ŚABDAM.</	>m.</lex> Titel einer Schrift <ls>Notices of Skt. Mss. 86.</ls> <LEND>  <L>94006<pc>6-1264<k1>vizRugfha<
